;Gasto total (millones de euros);Gasto por persona y día (euros)
2021M12;;
   TOTAL;162,66;107,97
   ESPAÑA (Otras CCAA);35,28;81,44
   EXTRANJERO;127,38;118,67
   (110) Francia;3,84;106,16
   (115) Italia;...;...
   (125) Reino Unido;13,63;110,71
   (126) Alemania;57,64;133,87
   (132) Suiza;1,84;138,99
   Bélgica, Luxemburgo y Países Bajos;13,28;83,32
   Países nórdicos;...;...
   Resto del mundo;26,2;137,4
2021M11;;
   TOTAL;200;118,92
   ESPAÑA (Otras CCAA);37,24;80,7
   EXTRANJERO;162,75;133,38
   (110) Francia;10,46;100,55
   (115) Italia;2,65;94,38
   (125) Reino Unido;16,78;107,06
   (126) Alemania;78,03;136,97
   (132) Suiza;...;...
   Bélgica, Luxemburgo y Países Bajos;8,25;146,52
   Países nórdicos;17,43;138,28
   Resto del mundo;23,52;169,11
2021M10;;
   TOTAL;1.208,01;147,2
   ESPAÑA (Otras CCAA);94,97;89,99
   EXTRANJERO;1.113,05;155,64
   (110) Francia;71,89;170,52
   (115) Italia;14,73;162,64
   (125) Reino Unido;183,94;150,66
   (126) Alemania;465,62;140,81
   (132) Suiza;56,54;147,37
   Bélgica, Luxemburgo y Países Bajos;99,02;162,94
   Países nórdicos;69,53;173,78
   Resto del mundo;151,78;210,74
2021M09;;
   TOTAL;1.542,17;138,81
   ESPAÑA (Otras CCAA);237,49;85,85
   EXTRANJERO;1.304,68;156,37
   (110) Francia;82,97;149,05
   (115) Italia;52,1;139,93
   (125) Reino Unido;240,81;145,42
   (126) Alemania;463,13;140,9
   (132) Suiza;38,24;184,09
   Bélgica, Luxemburgo y Países Bajos;159,2;180,33
   Países nórdicos;64,45;184,84
   Resto del mundo;203,77;197,37
2021M08;;
   TOTAL;2.059,46;141,35
   ESPAÑA (Otras CCAA);479,33;94,07
   EXTRANJERO;1.580,14;166,78
   (110) Francia;216,91;157,54
   (115) Italia;97,26;143,91
   (125) Reino Unido;338,77;155,36
   (126) Alemania;351,07;155,16
   (132) Suiza;57,03;197,52
   Bélgica, Luxemburgo y Países Bajos;193,53;180,54
   Países nórdicos;74,48;178,06
   Resto del mundo;251,07;209,32
2021M07;;
   TOTAL;1.965,20;155,66
   ESPAÑA (Otras CCAA);330,76;91,94
   EXTRANJERO;1.634,44;181,05
   (110) Francia;131,13;177,3
   (115) Italia;67,02;178,29
   (125) Reino Unido;346,66;186,22
   (126) Alemania;471,56;158,34
   (132) Suiza;109,12;205,27
   Bélgica, Luxemburgo y Países Bajos;163,57;199,91
   Países nórdicos;107,84;171,18
   Resto del mundo;237,53;217,43
2021M06;;
   TOTAL;910,18;144,22
