Columna1;ILLES BALEARS;Mallorca;Menorca;Eivissa-Formentera
2021M12;131;99;10;21
2021M11;168;130;12;26
2021M10;779;593;54;132
2021M09;1.022;702;93;227
2021M08;1.090;737;105;248
2021M07;1.029;695;98;237
2021M06;694;460;73;161
2021M05;328;228;33;68
2021M04;160;115;19;...
2021M03;98;75;...;14
2021M02;67;45;...;15
2021M01;58;40;...;11
2020M12;66;48;...;11
2020M11;91;67;11;13
2020M10;221;136;22;63
2020M09;424;233;57;134
2020M08;671;411;72;187
2020M07;564;341;66;156
2020M06;97;...;...;...
2020M05;24;...;...;...
2020M04;0;0;0;0
2020M03;209;168;...;31
2020M02;198;164;10;24
2020M01;127;101;12;14
2019M12;145;123;...;...
2019M11;196;161;...;...
2019M10;1.049;797;64;188
2019M09;1.340;938;104;299
2019M08;1.341;938;103;301
2019M07;1.341;939;103;299
2019M06;1.341;949;97;295
2019M05;1.265;909;89;267
2019M04;602;500;27;75
2019M03;313;272;15;25
2019M02;195;158;10;27
2019M01;128;101;9;17
2018M12;141;120;...;...
2018M11;184;162;...;...
2018M10;1.070;799;66;206
2018M09;1.340;926;104;310
2018M08;1.342;926;104;312
2018M07;1.355;940;104;311
2018M06;1.346;937;103;306
2018M05;1.260;910;90;260
2018M04;621;508;29;84
2018M03;309;264;20;25
2018M02;206;173;...;18
2018M01;132;106;...;14
