;Eivissa-Formentera;Menorca;Mallorca;ILLES BALEARS
2021M12;32,1;23,3;41,3;38,7
   TOTAL;;;;
2021M11;33,3;23,4;53,3;48,6
   TOTAL;;;;
2021M10;53,8;34;56,9;55,8
   TOTAL;;;;
2021M09;103,4;66,3;74;78,3
   TOTAL;;;;
2021M08;151,3;126,2;84,5;103,3
   TOTAL;;;;
2021M07;111,9;96,2;78;86,2
   TOTAL;;;;
2021M06;68,2;55;51,5;55,5
   TOTAL;;;;
2021M05;39,3;20,8;60,6;53,8
   TOTAL;;;;
2021M04;27,8;20,6;43,8;40,1
   TOTAL;;;;
2021M03;24,3;18,3;36,6;33,7
   TOTAL;;;;
2021M02;14;12,9;12,8;13
   TOTAL;;;;
2021M01;16,9;8;10,7;11,8
   TOTAL;;;;
2020M12;24,1;13,7;20;20,2
   TOTAL;;;;
2020M11;18,4;12,9;18,9;18,3
   TOTAL;;;;
2020M10;14,8;17,9;20,1;18,8
   TOTAL;;;;
2020M09;32,7;43,3;20,9;27,2
   TOTAL;;;;
2020M08;76,7;72;42,2;53,7
   TOTAL;;;;
2020M07;68,2;43,1;45,1;50,7
   TOTAL;;;;
2020M06;..;..;..;..
   TOTAL;;;;
2020M05;..;..;..;..
   TOTAL;;;;
2020M04;0;0;0;0
   TOTAL;;;;
2020M03;25,7;....;33,8;32,8
   TOTAL;;;;
2020M02;33,9;26,4;40;38,8
   TOTAL;;;;
2020M01;22,7;24,3;39,7;36,4
   TOTAL;;;;
2019M12;27,3;24,8;59,2;53,6
   TOTAL;;;;
2019M11;31,6;33;46,4;44,6
   TOTAL;;;;
2019M10;51,5;31,4;53,5;51,6
   TOTAL;;;;
2019M09;104,6;85,6;91,2;93,5
   TOTAL;;;;
2019M08;163,1;142,5;112,1;125,5
   TOTAL;;;;
2019M07;138,1;109,3;106,1;112,8
   TOTAL;;;;
2019M06;105,7;83,8;86,9;90,7
   TOTAL;;;;
2019M05;64,4;39,4;58,3;57,8
   TOTAL;;;;
2019M04;50,8;35,1;59,8;58,7
   TOTAL;;;;
2019M03;36,5;23,8;43;42,1
   TOTAL;;;;
2019M02;25,7;19,7;40,2;38,8
   TOTAL;;;;
2019M01;23,7;23,2;37,2;35
   TOTAL;;;;
2018M12;29,9;28,4;55,8;51,5
   TOTAL;;;;
2018M11;26,9;34,7;46,6;44,9
   TOTAL;;;;
2018M10;59,6;30,7;53,2;52,3
   TOTAL;;;;
2018M09;107,5;86,5;87,6;92
   TOTAL;;;;
2018M08;155,4;139,3;106,9;121
   TOTAL;;;;
2018M07;137,2;110,8;103,3;111,5
   TOTAL;;;;
2018M06;109,3;84,3;83,6;89,4
   TOTAL;;;;
2018M05;62,5;42;60,6;59,6
   TOTAL;;;;
2018M04;53,4;20,5;54,7;54,2
   TOTAL;;;;
2018M03;50,5;22,1;46,8;46,1
   TOTAL;;;;
2018M02;34,4;11,7;39,2;37,1
   TOTAL;;;;
2018M01;32,3;17,9;39,1;35,9
   TOTAL;;;;
