,fecha,nombre,ID,tmed,prec,tmin,tmax,sol
0,2018-01-01,"MENORCA, AEROPUERTO",4,"12,4",Ip,"9,1","15,6","8,6"
1,2018-01-02,"MENORCA, AEROPUERTO",4,"13,0","0,0","8,7","17,3","5,5"
2,2018-01-03,"MENORCA, AEROPUERTO",4,"16,5","0,0","13,3","19,7","8,0"
3,2018-01-04,"MENORCA, AEROPUERTO",4,"16,1","0,0","11,0","21,2","8,8"
4,2018-01-05,"MENORCA, AEROPUERTO",4,"13,0","0,0","8,3","17,6","8,0"
5,2018-01-06,"MENORCA, AEROPUERTO",4,"15,3","0,0","13,3","17,3","2,3"
6,2018-01-07,"MENORCA, AEROPUERTO",4,"10,0","7,5","5,1","15,0","0,8"
7,2018-01-08,"MENORCA, AEROPUERTO",4,"9,5","38,0","6,5","12,5","0,0"
8,2018-01-09,"MENORCA, AEROPUERTO",4,"13,0","0,0","9,9","16,1","6,5"
9,2018-01-10,"MENORCA, AEROPUERTO",4,"12,4","4,1","10,1","14,6","0,0"
10,2018-01-11,"MENORCA, AEROPUERTO",4,"9,6","18,5","6,6","12,7","0,5"
11,2018-01-12,"MENORCA, AEROPUERTO",4,"10,1","1,0","6,0","14,2","7,0"
12,2018-01-13,"MENORCA, AEROPUERTO",4,"9,8","0,0","4,5","15,2","5,6"
13,2018-01-14,"MENORCA, AEROPUERTO",4,"11,4","0,8","7,8","14,9","6,3"
14,2018-01-15,"MENORCA, AEROPUERTO",4,"10,6","0,0","5,4","15,9","6,8"
15,2018-01-16,"MENORCA, AEROPUERTO",4,"13,5","0,0","10,5","16,5","9,3"
16,2018-01-17,"MENORCA, AEROPUERTO",4,"14,4",Ip,"10,9","17,9","3,5"
17,2018-01-18,"MENORCA, AEROPUERTO",4,"10,8","0,0","5,9","15,7","5,9"
18,2018-01-19,"MENORCA, AEROPUERTO",4,"11,1","1,6","6,3","15,9","1,7"
19,2018-01-20,"MENORCA, AEROPUERTO",4,"11,8","0,0","7,9","15,6","5,0"
20,2018-01-21,"MENORCA, AEROPUERTO",4,"16,4","0,0","12,6","20,2","9,5"
21,2018-01-22,"MENORCA, AEROPUERTO",4,"14,0",Ip,"8,4","19,5","9,1"
22,2018-01-23,"MENORCA, AEROPUERTO",4,"12,8",Ip,"6,7","18,9","7,1"
23,2018-01-24,"MENORCA, AEROPUERTO",4,"12,8","0,3","7,6","17,9","9,6"
24,2018-01-25,"MENORCA, AEROPUERTO",4,"13,4",Ip,"10,1","16,8","7,1"
25,2018-01-26,"MENORCA, AEROPUERTO",4,"11,0","3,9","7,1","15,0","1,1"
26,2018-01-27,"MENORCA, AEROPUERTO",4,"10,2","5,3","7,3","13,1","0,1"
27,2018-01-28,"MENORCA, AEROPUERTO",4,"12,4","0,0","8,9","15,8","3,7"
28,2018-01-29,"MENORCA, AEROPUERTO",4,"10,4","0,0","4,5","16,2","9,6"
29,2018-01-30,"MENORCA, AEROPUERTO",4,"9,6","0,0","3,1","16,2","9,2"
30,2018-01-31,"MENORCA, AEROPUERTO",4,"10,2",Ip,"3,9","16,5","9,3"
31,2018-02-01,"MENORCA, AEROPUERTO",4,"11,0","20,0","6,7","15,3","1,4"
32,2018-02-02,"MENORCA, AEROPUERTO",4,"6,9","11,9","4,7","9,1","0,0"
33,2018-02-03,"MENORCA, AEROPUERTO",4,"8,4","0,7","4,7","12,0","5,0"
34,2018-02-04,"MENORCA, AEROPUERTO",4,"13,1","0,7","10,2","16,0","5,3"
35,2018-02-05,"MENORCA, AEROPUERTO",4,"12,4","0,0","8,8","16,0","2,8"
36,2018-02-06,"MENORCA, AEROPUERTO",4,"10,6","8,3","7,0","14,2","2,8"
37,2018-02-07,"MENORCA, AEROPUERTO",4,"7,8","3,1","5,9","9,8","2,9"
38,2018-02-08,"MENORCA, AEROPUERTO",4,"7,0","2,3","2,4","11,6","1,8"
39,2018-02-09,"MENORCA, AEROPUERTO",4,"6,4","2,4","2,0","10,8","3,4"
40,2018-02-10,"MENORCA, AEROPUERTO",4,"6,0","1,8","3,7","8,3","1,3"
41,2018-02-11,"MENORCA, AEROPUERTO",4,"9,3","0,1","4,6","14,0","6,1"
42,2018-02-12,"MENORCA, AEROPUERTO",4,"9,3","5,0","6,0","12,6","0,0"
43,2018-02-13,"MENORCA, AEROPUERTO",4,"8,1","0,0","3,7","12,5","6,6"
44,2018-02-14,"MENORCA, AEROPUERTO",4,"10,6",Ip,"8,1","13,2","0,7"
45,2018-02-15,"MENORCA, AEROPUERTO",4,"12,6","0,0","6,2","19,0","7,8"
46,2018-02-16,"MENORCA, AEROPUERTO",4,"11,6","0,0","6,1","17,0","2,6"
47,2018-02-17,"MENORCA, AEROPUERTO",4,"14,8","0,0","9,6","20,1","6,8"
48,2018-02-18,"MENORCA, AEROPUERTO",4,"10,6","0,0","6,3","15,0","7,7"
49,2018-02-19,"MENORCA, AEROPUERTO",4,"10,6","2,6","6,2","15,0","4,2"
50,2018-02-20,"MENORCA, AEROPUERTO",4,"11,0","3,4","7,9","14,0","0,2"
51,2018-02-21,"MENORCA, AEROPUERTO",4,"8,2","3,0","5,7","10,6","0,1"
52,2018-02-22,"MENORCA, AEROPUERTO",4,"8,6","0,1","6,4","10,9","4,1"
53,2018-02-23,"MENORCA, AEROPUERTO",4,"7,6",Ip,"4,0","11,3","4,4"
54,2018-02-24,"MENORCA, AEROPUERTO",4,"8,6","0,0","2,4","14,7","7,5"
55,2018-02-25,"MENORCA, AEROPUERTO",4,"8,3","0,0","2,4","14,2","2,4"
56,2018-02-26,"MENORCA, AEROPUERTO",4,"8,8","0,0","5,7","11,9","10,3"
57,2018-02-27,"MENORCA, AEROPUERTO",4,"4,0","1,5","2,3","5,8","0,0"
58,2018-02-28,"MENORCA, AEROPUERTO",4,"9,0",Ip,"3,3","14,6","0,3"
59,2018-03-01,"MENORCA, AEROPUERTO",4,"15,7","0,0","13,2","18,2","7,9"
60,2018-03-02,"MENORCA, AEROPUERTO",4,"13,9",Ip,"11,9","15,9","3,8"
61,2018-03-03,"MENORCA, AEROPUERTO",4,"15,2","9,1","12,2","18,3","5,7"
62,2018-03-04,"MENORCA, AEROPUERTO",4,"13,1","17,2","11,4","14,8","0,1"
63,2018-03-05,"MENORCA, AEROPUERTO",4,"12,6","1,3","9,2","16,1","3,2"
64,2018-03-06,"MENORCA, AEROPUERTO",4,"13,8","0,0","10,8","16,9","6,7"
